View Set	Product Count
A - HZ - 999 - life moments	<html>0  (<font color=red>0</font>)</html>
A - HZ - 999 - wedding	<html>5  (<font color=red>0</font>)</html>
A - HZ - 999 business	<html>4  (<font color=red>0</font>)</html>
A - HZ - business	<html>117  (<font color=red>36</font>)</html>
A - HZ - business - carrier card	<html>18  (<font color=red>0</font>)</html>
A - HZ - life moments - BABY	<html>162  (<font color=red>162</font>)</html>
A - HZ - life moments - GRAD	<html>17  (<font color=red>12</font>)</html>
A - HZ - life moments - MOVE	<html>14  (<font color=red>0</font>)</html>
A - HZ - life moments - PARTY	<html>48  (<font color=red>0</font>)</html>
A - HZ - life moments - QUINCE	<html>5  (<font color=red>0</font>)</html>
A - HZ - life moments - QUINCE - carrier	<html>1  (<font color=red>0</font>)</html>
A - HZ - school	<html>76  (<font color=red>2</font>)</html>
A - HZ - wedding - WW	<html>236  (<font color=red>42</font>)</html>
A - HZ - wedding - WW Carrier	<html>69  (<font color=red>0</font>)</html>
A - VT - 999 - life moments	<html>2  (<font color=red>0</font>)</html>
A - VT - 999 - wedding	<html>2  (<font color=red>0</font>)</html>
A - VT - 999 business	<html>4  (<font color=red>0</font>)</html>
A - VT - business	<html>65  (<font color=red>138</font>)</html>
A - VT - businesss - carrier card	<html>25  (<font color=red>0</font>)</html>
A - VT - life moments - BABY	<html>103  (<font color=red>20</font>)</html>
A - VT - life moments - GRAD	<html>16  (<font color=red>9</font>)</html>
A - VT - life moments - MOVE	<html>23  (<font color=red>0</font>)</html>
A - VT - life moments - PARTY	<html>62  (<font color=red>0</font>)</html>
A - VT - life moments - QUINCE	<html>3  (<font color=red>0</font>)</html>
A - VT - life moments - QUINCE - carrier	<html>10  (<font color=red>0</font>)</html>
A - VT - school	<html>70  (<font color=red>26</font>)</html>
A - VT - wedding - WW	<html>284  (<font color=red>2</font>)</html>
A - VT - wedding - WW Carrier	<html>118  (<font color=red>0</font>)</html>
AB - HZ - 999 business	<html>2  (<font color=red>0</font>)</html>
AB - VT - 999 business	<html>2  (<font color=red>0</font>)</html>
AC - HZ - 999 business	<html>2  (<font color=red>0</font>)</html>
AC - VT - 999 business	<html>2  (<font color=red>0</font>)</html>
AL - HZ - life moments - BABY	<html>126  (<font color=red>20</font>)</html>
AL - HZ - life moments - GRAD	<html>17  (<font color=red>12</font>)</html>
AL - HZ - life moments - MOVE	<html>14  (<font color=red>0</font>)</html>
AL - HZ - life moments - PARTY	<html>74  (<font color=red>0</font>)</html>
AL - HZ - life moments - QUINCE	<html>1  (<font color=red>0</font>)</html>
AL - VT - life moments - BABY	<html>89  (<font color=red>20</font>)</html>
AL - VT - life moments - GRAD	<html>16  (<font color=red>9</font>)</html>
AL - VT - life moments - MOVE	<html>24  (<font color=red>0</font>)</html>
AL - VT - life moments - PARTY	<html>68  (<font color=red>0</font>)</html>
AL - VT - life moments - QUINCE	<html>10  (<font color=red>0</font>)</html>
B - HZ - 999 - life moments	<html>0  (<font color=red>0</font>)</html>
B - HZ - 999 - wedding	<html>3  (<font color=red>0</font>)</html>
B - HZ - 999 business	<html>6  (<font color=red>0</font>)</html>
B - HZ - business	<html>292  (<font color=red>22</font>)</html>
B - HZ - life moments - QUINCE	<html>0  (<font color=red>0</font>)</html>
B - HZ - school	<html>58  (<font color=red>27</font>)</html>
B - HZ - wedding - WW	<html>190  (<font color=red>116</font>)</html>
B - HZ - wedding - WW Carrier	<html>60  (<font color=red>0</font>)</html>
B - VT - 999 - wedding	<html>1  (<font color=red>0</font>)</html>
B - VT - 999 business	<html>4  (<font color=red>0</font>)</html>
B - VT - business	<html>48  (<font color=red>7</font>)</html>
B - VT - life moments - QUINCE	<html>0  (<font color=red>0</font>)</html>
B - VT - school	<html>30  (<font color=red>2</font>)</html>
B - VT - wedding - WW	<html>201  (<font color=red>106</font>)</html>
B - VT - wedding - WW Carrier	<html>83  (<font color=red>0</font>)</html>
BBA - wedding	<html>429  (<font color=red>11</font>)</html>
BBA - wedding 999	<html>1  (<font color=red>0</font>)</html>
BBB - wedding	<html>252  (<font color=red>9</font>)</html>
BBB - wedding 999	<html>2  (<font color=red>0</font>)</html>
BBC - wedding	<html>190  (<font color=red>3</font>)</html>
BBC - wedding 999	<html>1  (<font color=red>0</font>)</html>
BBD - wedding	<html>190  (<font color=red>3</font>)</html>
BBD - wedding 999	<html>1  (<font color=red>0</font>)</html>
BBE - wedding	<html>211  (<font color=red>3</font>)</html>
BBE - wedding 999	<html>1  (<font color=red>0</font>)</html>
BBF - wedding	<html>210  (<font color=red>3</font>)</html>
BBF - wedding 999	<html>1  (<font color=red>0</font>)</html>
BH - HZ - 999 business	<html>3  (<font color=red>0</font>)</html>
BH - VT - 999 business	<html>3  (<font color=red>0</font>)</html>
C - HZ - 999 business	<html>4  (<font color=red>0</font>)</html>
C - HZ - business	<html>51  (<font color=red>210</font>)</html>
C - HZ - business - Inserts	<html>202  (<font color=red>2</font>)</html>
C - HZ - schools	<html>118  (<font color=red>5</font>)</html>
C - VT - 999 business	<html>4  (<font color=red>0</font>)</html>
C - VT - business	<html>41  (<font color=red>58</font>)</html>
C - VT - business - Inserts	<html>222  (<font color=red>10</font>)</html>
C - VT - schools	<html>119  (<font color=red>58</font>)</html>
CA - business	<html>0  (<font color=red>0</font>)</html>
CF - 999 business	<html>3  (<font color=red>0</font>)</html>
CPA Canvas	<html>23  (<font color=red>3</font>)</html>
CPA Canvas - weddings	<html>71  (<font color=red>4</font>)</html>
CPB Canvas	<html>25  (<font color=red>6</font>)</html>
CPB Canvas - weddings	<html>70  (<font color=red>3</font>)</html>
CPC Canvas	<html>26  (<font color=red>5</font>)</html>
CPC Canvas - weddings	<html>74  (<font color=red>2</font>)</html>
CPD Canvas	<html>14  (<font color=red>1</font>)</html>
CPD Canvas - weddings	<html>67  (<font color=red>3</font>)</html>
CPE Canvas	<html>27  (<font color=red>3</font>)</html>
CPE Canvas - weddings	<html>68  (<font color=red>3</font>)</html>
CPF Canvas	<html>25  (<font color=red>4</font>)</html>
CPF Canvas - weddings	<html>67  (<font color=red>3</font>)</html>
CPG Canvas	<html>24  (<font color=red>5</font>)</html>
CPG Canvas - weddings	<html>64  (<font color=red>3</font>)</html>
CPH Canvas	<html>22  (<font color=red>2</font>)</html>
CPH Canvas - weddings	<html>64  (<font color=red>2</font>)</html>
CPI Canvas	<html>23  (<font color=red>5</font>)</html>
CPI Canvas - weddings	<html>70  (<font color=red>1</font>)</html>
CPJ Canvas	<html>24  (<font color=red>5</font>)</html>
CPJ Canvas - weddings	<html>70  (<font color=red>1</font>)</html>
CPK Canvas	<html>6  (<font color=red>2</font>)</html>
CPK Canvas - weddings	<html>66  (<font color=red>3</font>)</html>
CPL Canvas	<html>27  (<font color=red>4</font>)</html>
CPL Canvas - weddings	<html>69  (<font color=red>1</font>)</html>
CPM Canvas	<html>25  (<font color=red>4</font>)</html>
CPM Canvas - weddings	<html>68  (<font color=red>1</font>)</html>
CPN Canvas	<html>21  (<font color=red>7</font>)</html>
CPN Canvas - weddings	<html>67  (<font color=red>1</font>)</html>
CPO Canvas	<html>20  (<font color=red>5</font>)</html>
CPO Canvas - weddings	<html>67  (<font color=red>1</font>)</html>
CT - HZ - 999 - life moments	<html>0  (<font color=red>0</font>)</html>
CT - HZ - 999 - wedding	<html>12  (<font color=red>0</font>)</html>
CT - HZ - 999 business	<html>2  (<font color=red>0</font>)</html>
CT - HZ - christmas	<html>108  (<font color=red>6</font>)</html>
CT - HZ - school	<html>8  (<font color=red>10</font>)</html>
CT - HZ - Schools	<html>0  (<font color=red>0</font>)</html>
